APAVI,BALRE,BUCRH,CAPCA,CARCR,CATAU,CHAPE_CALAN,CHAVO,CHLUN,COLST,COLLI,CUCCA,EGRGA,EURHE,FALPE,FULGL,GAVST,HALLE_HALAL,LEPDI,MESUN,NESNO_MELUN,NIPNI,OPHHO,PELCR,PHALE,PHACA,PICPU_MERNU,PODCR_PHORU,PTEGU,PYGAD_APTFO,TAEGU_MANVI_GEOFO_CORBR_ACACH,TAUER,TYTAL
1,?,?,0,0,0,0,0,0,0,0,0,0,?,0,0,0,0,0,0,0,0,0,0,0,0,1,?,0,0,0,0,0
1,0,1,0,0,1,0,0,0,1,0,0,?,0,0,0,0,1,?,0,0,0,0,?,0,0,1,0,0,0,0,0,1
1,?,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,?,0,0,0,0,1,0,0,0,0,0,0
1,0,0,?,0,1,?,?,0,?,0,?,?,?,0,0,0,0,0,0,0,0,0,0,?,0,0,0,0,0,?,0,0
1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,?,0,0,0,0,0,1,0,0,0,0,0,?
1,0,1,0,0,0,0,?,0,0,0,0,0,0,0,0,0,0,1,?,0,0,0,0,0,0,?,0,?,0,0,0,1
1,0,?,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1,0,?,?,0,1,0,0,0,0,?,0,0,0,1,0,0,0,0,0,?,?,?,0,0,0,?,0,0,0,1,0,1
1,0,1,0,0,0,0,0,0,?,0,0,0,0,0,0,0,0,0,?,0,0,0,0,0,0,1,0,?,0,?,0,0
1,0,1,0,1,1,?,?,0,?,0,0,0,0,1,0,0,1,1,0,?,0,0,0,0,0,1,0,?,0,1,0,1
1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
