newdataHH_CATAU,newdataCAGTM_newdataMN_FALPE_CARCR,newdataPM_BUCRH_APAVI_LEPDI,TYTAL,COLST
1,0,1,1,1
B,0,B,0,?
0,0,1,1,1
0,0,1,1,0
B,B,B,1,0
0,0,1,1,?
0,1,1,1,0
0,0,1,1,0
0,B,0,1,0
1,0,1,0,1
B,1,B,1,?
0,B,B,0,?
B,1,1,?,1
1,0,1,1,0
0,0,1,1,0
1,0,B,0,1
1,0,B,1,?
0,0,1,1,0
1,0,1,1,1
1,0,1,1,1
0,0,1,1,0
0,0,1,1,0
1,0,1,1,0
1,0,1,?,0
1,0,1,1,0
1,0,1,1,?
1,B,B,0,?
1,1,1,1,0
0,1,1,1,1
0,1,1,1,0
B,0,B,1,0
1,B,1,1,0
1,0,1,1,0
1,0,1,1,?
1,0,B,0,0
0,1,1,0,0
1,0,1,?,0
1,0,1,1,1
1,0,0,1,?
0,1,B,1,0
B,1,B,0,1
0,B,0,1,?
1,1,0,?,?
B,1,0,?,?
B,1,0,?,?
0,1,1,?,?
1,1,0,0,?
B,1,0,0,0
1,1,0,0,0
0,B,B,0,?
0,1,1,?,?
B,1,0,0,0
1,1,0,?,?
B,1,0,0,0
0,B,1,0,0
0,1,0,1,0
B,1,0,1,?
1,1,0,0,0
B,0,B,0,0
1,0,?,1,?
1,B,0,1,0
1,0,0,1,0
1,0,0,1,0
B,1,?,1,?
0,1,1,?,0
1,0,B,1,0
1,0,1,0,?
1,0,1,1,0
0,1,0,1,0
1,0,1,1,1
1,0,0,1,?
1,0,0,1,?
0,1,0,1,?
0,B,0,0,1
0,B,0,0,1
0,B,0,0,1
1,0,0,0,1
0,1,0,0,1
B,1,1,?,1
0,0,1,1,1
0,1,0,0,1
1,1,0,?,1
1,0,0,0,1
0,B,0,0,1
1,0,0,0,1
0,0,0,1,1
1,0,0,1,1
1,B,0,0,1
B,0,0,0,1
1,1,1,0,0
1,0,0,?,1
B,0,0,?,1
1,0,?,1,1
0,1,1,0,?
B,0,1,0,0
B,1,1,?,?
B,B,1,0,?
1,1,0,0,?
1,0,1,?,?
B,1,0,0,?
1,0,1,1,1
1,1,0,?,?
1,1,1,?,0
1,0,0,1,?
B,0,0,1,0
1,0,0,0,1
1,0,0,1,?
1,0,1,1,0
1,0,0,1,0
1,0,0,1,?
B,0,?,1,?
B,0,0,1,0
1,0,0,1,0
1,0,1,1,1
0,?,1,1,0
0,0,1,1,1
0,0,1,1,0
1,0,1,0,1
1,B,1,1,1
B,0,1,1,1
0,0,1,1,0
0,B,1,0,0
1,0,1,1,1
0,0,1,0,1
1,0,1,1,1
0,0,1,1,0
0,0,1,1,1
0,0,1,1,0
0,B,1,0,0
1,B,1,1,0
B,0,1,1,?
0,0,1,1,0
1,0,B,1,0
1,B,B,0,1
1,0,1,0,0
1,0,1,1,?
0,0,B,1,0
0,0,1,1,1
1,B,1,1,?
0,1,1,1,?
0,0,1,0,1
1,0,1,?,0
0,1,B,0,?
0,B,1,1,1
0,B,1,1,1
B,1,1,?,?
?,0,1,1,1
0,0,1,1,?
1,0,1,1,1
1,1,0,0,1
0,0,1,1,0
1,0,1,1,?
1,0,1,0,0
0,1,B,0,?
1,0,1,0,0
1,0,B,0,0
1,0,1,?,0
1,0,1,0,0
1,1,B,1,1
1,1,1,1,0
1,1,1,0,1
B,0,1,?,0
1,0,1,?,?
B,0,1,1,1
1,B,B,0,0
0,1,B,1,1
0,0,1,1,1
1,0,1,0,0
0,0,1,1,0
0,1,1,0,?
0,0,1,1,0
B,0,1,1,0
0,1,B,1,0
B,0,1,1,0
1,0,B,0,?
0,1,1,0,1
1,1,1,0,1
1,0,1,?,1
1,0,1,1,0
1,0,1,1,1
1,1,1,1,0
1,0,1,?,1
1,0,1,1,0
B,0,B,1,?
0,1,1,1,?
1,B,1,1,1
1,0,1,0,0
B,1,1,1,1
1,0,1,1,0
1,1,1,1,0
0,0,1,1,0
1,0,1,1,0
0,0,1,1,0
1,B,1,1,?
1,0,1,1,?
1,0,B,0,0
1,0,1,?,1
1,0,1,1,?
B,0,1,1,0
1,0,1,1,?
1,0,1,?,?
1,0,1,1,0
1,0,B,1,?
0,0,1,1,1
1,1,1,0,?
0,0,1,1,0
0,0,1,1,?
1,0,1,1,0
B,0,1,1,0
1,0,1,0,0
0,0,B,1,0
1,0,1,1,?
0,0,1,1,0
1,0,1,1,0
B,0,1,?,0
0,0,1,1,0
0,0,1,1,0
0,0,1,0,1
B,0,B,?,?
1,0,1,1,1
B,0,1,0,0
1,0,1,1,1
1,0,1,0,1
1,0,1,?,?
0,0,1,1,0
0,1,1,0,0
0,0,1,0,1
1,0,B,0,1
1,0,1,1,0
B,0,1,?,0
1,0,B,?,0
1,?,1,0,0
0,B,B,0,0
0,1,1,1,0
1,B,0,0,?
1,0,1,0,?
B,B,0,1,?
1,0,B,1,?
1,B,1,1,?
1,0,B,?,?
B,0,1,1,?
0,0,1,1,?
1,1,0,?,0
0,1,0,1,1
1,0,0,1,?
B,0,0,1,1
B,1,1,1,?
1,1,1,1,0
1,0,1,0,?
1,0,1,1,?
1,0,B,1,0
1,1,B,1,1
1,1,0,0,0
B,1,1,0,1
1,0,B,0,0
1,0,1,1,?
0,B,0,0,1
1,0,1,0,?
1,1,0,1,?
1,B,1,1,1
0,1,0,1,?
1,0,0,1,0
1,0,0,1,0
1,0,0,1,0
1,0,0,1,0
B,0,0,1,0
1,0,B,1,1
0,0,B,1,0
0,0,0,1,1
0,B,0,1,0
0,1,0,1,0
0,0,B,1,1
B,0,0,1,0
1,0,?,1,0
?,1,1,0,1
1,0,0,1,?
0,B,0,1,0
1,0,0,1,0
1,0,0,1,0
0,0,0,1,1
0,1,0,1,?
1,0,0,1,0
0,0,0,1,1
1,0,?,1,0
B,0,0,1,1
0,0,0,1,1
1,0,0,1,0
1,0,0,1,0
1,0,0,1,0
1,0,0,1,0
1,0,1,1,0
0,1,0,1,?
1,0,B,1,0
B,0,0,1,?
1,0,0,1,0
1,0,0,1,1
0,0,0,1,1
0,B,0,1,0
B,1,0,1,1
1,0,0,1,1
B,1,0,1,0
B,0,0,1,?
0,0,B,1,0
1,0,0,1,0
1,0,0,1,0
1,0,B,1,0
1,0,0,1,0
1,0,0,1,0
1,1,0,1,0
1,0,0,1,?
